"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,13408368,3686524,3134944,551580
41,13519827,3735063,3229195,505868
42,13634093,3763312,3312025,451287
43,13695996,3788745,3388055,400690
44,13781843,3847627,3468085,379542
45,13911881,3947479,3522555,424924
46,15442072,4473627,3677024,796603
47,15527686,4514575,3838296,676279
48,15579033,4538406,3919235,619171
49,16099475,4717040,4001855,715185
50,16175564,4737722,4082756,654966
